date,ticker,action,price,shares,invested,cash,reason,projected_sell_date,proceeds,profit,hold_days
2022-03-15,UCOBANK.NS,buy,11.443392753601074,8,91.5471420288086,9908.452857971191,weak short-term trend; momentum is healthy; below 20-day average; below 50-day average; MACD bullish; reasonable PE; minimum market cap met,2022-09-11,,,
2022-03-21,YESBANK.NS,buy,12.949999809265137,7,90.64999866485596,9817.802859306335,weak short-term trend; momentum is healthy; below 20-day average; below 50-day average; MACD bullish; volume has picked up; reasonable PE; minimum market cap met,2022-09-17,,,
2022-04-07,YESBANK.NS,sell,15.550000190734863,7,,9926.65286064148,take profit,,108.85000133514404,18.200002670288086,17.0
2022-04-07,YESBANK.NS,buy,15.550000190734863,6,93.30000114440918,9833.35285949707,weak short-term trend; RSI elevated; price above 20-day average; above 50-day average; MACD bullish; volume has picked up; reasonable PE; minimum market cap met,2022-10-04,,,
2022-04-18,YESBANK.NS,sell,14.100000381469728,6,,9917.952861785889,stop loss,,84.60000228881837,-8.699998855590806,11.0
2022-04-18,YESBANK.NS,buy,14.100000381469728,7,98.7000026702881,9819.2528591156,short-term trend positive; RSI elevated; price above 20-day average; above 50-day average; MACD bullish; reasonable PE; minimum market cap met,2022-10-15,,,
2022-04-20,UCOBANK.NS,sell,11.636530876159668,8,,9912.345106124878,score deterioration,,93.09224700927734,1.54510498046875,36.0
2022-05-09,YESBANK.NS,sell,12.949999809265137,7,,10002.995104789734,stop loss,,90.64999866485596,-8.050004005432143,21.0
2022-05-09,YESBANK.NS,buy,12.949999809265137,7,90.64999866485596,9912.345106124878,"short-term trend positive; oversold, watch for reversal; below 20-day average; below 50-day average; MACD weak; reasonable PE; minimum market cap met",2022-11-05,,,
2022-05-17,UCOBANK.NS,buy,11.250255584716797,8,90.00204467773438,9822.343061447144,weak short-term trend; momentum is healthy; below 20-day average; below 50-day average; MACD bullish; reasonable PE; minimum market cap met,2022-11-13,,,
2022-06-17,UCOBANK.NS,sell,10.284567832946776,8,,9904.619604110718,stop loss,,82.2765426635742,-7.7255020141601705,31.0
2022-06-22,YESBANK.NS,sell,12.449999809265137,7,,9991.769602775574,score deterioration,,87.14999866485596,-3.5,44.0
2022-06-27,UCOBANK.NS,buy,10.719127655029297,9,96.47214889526367,9895.29745388031,weak short-term trend; momentum is healthy; below 20-day average; below 50-day average; MACD bullish; reasonable PE; minimum market cap met,2022-12-24,,,
2022-06-27,YESBANK.NS,buy,12.850000381469728,7,89.9500026702881,9805.347451210022,weak short-term trend; momentum is healthy; below 20-day average; below 50-day average; MACD bullish; reasonable PE; minimum market cap met,2022-12-24,,,
2022-07-29,YESBANK.NS,sell,14.949999809265137,7,,9909.997449874878,take profit,,104.64999866485596,14.699995994567857,32.0
2022-07-29,YESBANK.NS,buy,14.949999809265137,6,89.69999885559082,9820.297451019287,short-term trend positive; RSI elevated; price above 20-day average; above 50-day average; MACD bullish; volume has picked up; reasonable PE; minimum market cap met,2023-01-25,,,
2022-09-08,YESBANK.NS,sell,17.75,6,,9926.797451019287,take profit,,106.5,16.80000114440918,41.0
